delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
1904197,15624,20010,30922,44375,30879,11571,4194,2022-03-14 00:17:24.365106
419248,131882,36267,4279,20910,21722,15789,19497,2022-03-14 00:17:25.365622
1442727,227829,79182,89419,16519,13956,13074,10198,2022-03-14 00:17:26.369046
681577,93657,8260,67779,16452,39092,22180,9754,2022-03-14 00:17:27.366700
1396139,50776,17617,11665,11662,5267,3033,2843,2022-03-14 00:17:28.405445
749198,19860,23073,50781,33983,23765,4606,2921,2022-03-14 00:17:29.370831
808527,258964,9740,10156,10914,8080,5494,7546,2022-03-14 00:17:30.372610
547418,57837,11730,30183,20505,17720,8364,2668,2022-03-14 00:17:31.370642
1642437,150351,40644,60698,40840,6831,3473,2342,2022-03-14 00:17:32.399293
2080151,35127,9654,6227,8130,12973,1853,2145,2022-03-14 00:17:33.377775
101155,38995,12460,10935,9517,5095,4021,2385,2022-03-14 00:17:34.364946
958292,60387,4153,5659,5452,2076,2068,1887,2022-03-14 00:17:35.379136
691889,36169,622,2676,2700,2209,1795,1748,2022-03-14 00:17:36.373101
177597,57729,9305,34581,24115,25176,14135,13015,2022-03-14 00:17:37.364658
586617,248532,20808,8234,5538,7132,7486,3851,2022-03-14 00:17:38.378472
1004585,147821,54497,15191,9418,28435,6045,8188,2022-03-14 00:17:39.431291
589435,66914,6547,7298,3551,7225,5207,4011,2022-03-14 00:17:40.376034
1836536,87017,11919,10581,6428,9345,19607,8307,2022-03-14 00:17:41.365906
1436351,134806,44867,14962,14518,18056,18932,13331,2022-03-14 00:17:42.375445
1220848,80886,33386,41499,30840,53910,17727,16830,2022-03-14 00:17:43.379097
748466,169052,12990,30617,24290,21683,21511,4933,2022-03-14 00:17:44.370209
314748,22966,1064,4763,854,1304,2186,1778,2022-03-14 00:17:45.366104
781304,159595,16005,17400,8595,19019,12845,14951,2022-03-14 00:17:46.410298
201728,16832,2553,36570,8868,29005,16170,15194,2022-03-14 00:17:47.373578
236294,56734,29447,5392,7162,9539,6182,10253,2022-03-14 00:17:48.388082
693102,131551,11377,14264,15393,16275,10855,9697,2022-03-14 00:17:49.377875
166502,35653,5872,13489,4193,4448,1891,2324,2022-03-14 00:17:50.374468
2203,39797,6792,3039,5660,14600,9260,17931,2022-03-14 00:17:51.373454
15397,20259,22398,13436,8674,11231,8500,5615,2022-03-14 00:17:52.379547
1261861,149472,12094,6282,11159,11729,8972,5634,2022-03-14 00:17:53.386183
287831,54515,9091,4934,8227,3834,8936,3071,2022-03-14 00:17:54.374542
160750,56723,5440,13905,9999,12171,3377,4283,2022-03-14 00:17:55.370020
498465,134517,62384,8482,53243,13206,29741,12285,2022-03-14 00:17:56.383371
542091,68760,11165,7503,5157,16424,5341,4006,2022-03-14 00:17:57.396304
1527087,542421,50143,29328,44862,33566,24026,13958,2022-03-14 00:17:58.374218
923570,201813,18053,16487,21615,22726,21309,16981,2022-03-14 00:17:59.379083
638308,44697,6762,16848,8124,9285,6929,15106,2022-03-14 00:18:00.384237
866697,684799,55961,28483,15714,51684,39374,28490,2022-03-14 00:18:01.376025
271828,80990,195838,156133,9103,35630,33894,25646,2022-03-14 00:18:02.370116
336800,160756,22993,19188,9041,18338,7754,21028,2022-03-14 00:18:03.366187
56073,9916,4135,3947,686,6968,10657,3667,2022-03-14 00:18:04.423222
67832,21024,12414,4282,23972,30937,21219,12074,2022-03-14 00:18:05.373895
121759,26430,3280,5510,3837,6589,8390,6883,2022-03-14 00:18:06.373404
134465,18039,13928,6036,1530,7152,3242,3266,2022-03-14 00:18:07.370591
1722408,169157,103938,84202,44058,34815,34637,25200,2022-03-14 00:18:08.364404
1605149,115955,18735,34663,8134,24316,8387,11666,2022-03-14 00:18:09.368745
312597,33861,8046,3489,1906,2733,1144,1048,2022-03-14 00:18:10.377951
330914,9876,3389,3870,5882,4303,4956,765,2022-03-14 00:18:11.441508
93335,4761,2420,1704,3317,1639,1778,1041,2022-03-14 00:18:12.371518
668276,145560,12418,62255,33244,27721,6878,8595,2022-03-14 00:18:13.376697
49736,6545,1582,2068,811,333,594,555,2022-03-14 00:18:14.368684
181959,34134,6946,1686,451,2195,2190,1456,2022-03-14 00:18:15.364625
287982,259763,64268,98732,27278,19071,3913,9318,2022-03-14 00:18:16.369569
206075,174030,31224,9751,14458,17736,16071,9583,2022-03-14 00:18:17.378176
275305,74320,10456,13251,6749,22652,11688,10177,2022-03-14 00:18:18.368554
596699,70982,23424,26664,2484,12072,18340,8714,2022-03-14 00:18:19.365685
720160,348303,31233,13164,30227,34436,21590,32463,2022-03-14 00:18:20.379781
252588,173551,37755,16843,15557,11027,18870,17719,2022-03-14 00:18:21.379649
492028,110948,21346,27994,6866,28553,14988,23165,2022-03-14 00:18:22.407946
99102,74183,15644,6726,28595,11635,19292,7101,2022-03-14 00:18:23.371070
1316078,429867,112386,78449,52808,18360,30202,8561,2022-03-14 00:18:24.378874
127769,32454,1821,1995,2325,4577,3239,5520,2022-03-14 00:18:25.377113
203086,88802,5966,26351,22089,10319,9531,12297,2022-03-14 00:18:26.363412
259320,67154,3080,7937,15489,12328,12381,7265,2022-03-14 00:18:27.371608
716220,45291,64415,19924,10579,11776,11386,6068,2022-03-14 00:18:28.367101
949304,128170,17673,41418,28230,22664,26549,11041,2022-03-14 00:18:29.395050
122235,14330,499,525,788,336,778,620,2022-03-14 00:18:30.365215
1372065,577753,151613,84305,34470,17890,47171,34383,2022-03-14 00:18:31.363947
516315,101099,95725,27797,6895,11816,7442,15646,2022-03-14 00:18:32.364944
492205,284819,11456,9023,13972,16777,10002,11405,2022-03-14 00:18:33.363650
354493,631017,57591,145067,328855,242828,133063,139155,2022-03-14 00:18:34.371015
979383,53840,36627,18934,14880,17585,12628,8997,2022-03-14 00:18:35.372261
400089,146288,22393,38041,21542,11128,11460,13447,2022-03-14 00:18:36.407486
1477611,338138,27598,28639,62309,19256,29425,19164,2022-03-14 00:18:37.373042
614733,140107,140433,106701,52607,31985,6102,7544,2022-03-14 00:18:38.379029
1257298,136695,9651,28739,19453,4677,6874,2322,2022-03-14 00:18:39.379963
861873,56310,10067,8906,4103,3577,1736,1403,2022-03-14 00:18:40.384287
2197767,1418293,131303,177382,1075414,240404,111538,50243,2022-03-14 00:18:41.374859
1685430,520800,120946,134103,131120,48190,51399,22394,2022-03-14 00:18:42.364751
1651416,331939,37640,50843,161538,63351,15706,9093,2022-03-14 00:18:43.378234
1762005,133870,48477,73723,12886,14233,16563,6699,2022-03-14 00:18:44.371491
1810463,376209,58858,16989,28873,17434,17238,7172,2022-03-14 00:18:45.366213
59956,17679,4927,1848,3519,2895,933,1144,2022-03-14 00:18:46.372761
752016,571332,31337,67951,11230,8016,26821,29958,2022-03-14 00:18:47.418166
889505,572486,125291,142208,23543,54973,31267,30185,2022-03-14 00:18:48.379475
607153,24982,14780,13692,5346,1218,2390,2203,2022-03-14 00:18:49.375829
350115,61025,20916,37788,17950,11565,3666,6207,2022-03-14 00:18:50.377684
719425,83484,10284,3774,11062,15822,7605,22984,2022-03-14 00:18:51.369611
223349,34605,1847,10586,4268,14710,8547,11167,2022-03-14 00:18:52.390500
297004,57022,21862,14591,10153,4581,11120,11452,2022-03-14 00:18:53.377516
334126,87341,5373,38790,27307,27022,16302,13836,2022-03-14 00:18:54.404229
981597,137359,51666,23464,57553,27076,26325,20827,2022-03-14 00:18:55.377409
